('Market Cap', '3.515T')
         629954 function calls (605540 primitive calls) in 3.647 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      935    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       41    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      536    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
    80/46    0.000    0.000    0.129    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       32    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      288    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
      184    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        5    0.000    0.000    0.000    0.000 cd.py:319(filter_alt_coherence_matches)
      241    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      215    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1234(path_stats)
        1    0.000    0.000    0.082    0.082 dammit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
      343    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      487    0.000    0.000    0.000    0.000 response.py:392(__len__)
       35    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       60    0.000    0.000    0.000    0.000 response.py:886(_error_catcher)
       52    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
      181    0.000    0.000    0.009    0.000 _parser.py:97(closegroup)
      573    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       32    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
      519    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
       91    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      261    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       21    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        1    0.000    0.000    0.001    0.001 dammit.py:734(UnicodeDammit)
       70    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      244    0.000    0.000    0.000    0.000 client.py:453(isclosed)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
    80/54    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1676(_fill_cache)
       30    0.000    0.000    1.778    0.059 response.py:952(_fp_read)
       38    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
  140/135    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1488(_path_hooks)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      188    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
    35/27    0.000    0.000    0.011    0.000 css_parser.py:557(parse_pseudo_class)
      341    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      326    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 element.py:352(PageElement)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
       28    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
       52    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       52    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
      242    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       65    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(__init__)
        1    0.000    0.000    0.155    0.155 element.py:1(<module>)
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
       77    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
       48    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       17    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
      259    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       37    0.000    0.000    0.000    0.000 parser.py:92(_replace_attr_charref)
        2    0.000    0.000    0.020    0.010 connection.py:1(<module>)
      357    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.003    0.003 ssl_.py:225(create_urllib3_context)
        1    0.000    0.000    0.017    0.017 url.py:1(<module>)
       73    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
      170    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      258    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      219    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    28/15    0.000    0.000    0.165    0.011 {built-in method builtins.__import__}
        2    0.000    0.000    0.000    0.000 cookiejar.py:467(parse_ns_headers)
