('Market Cap', '3.515T')
         625347 function calls (600917 primitive calls) in 7.672 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
       58    0.000    0.000    0.003    0.000 typing.py:753(Union)
      131    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
      234    0.000    0.000    0.513    0.002 models.py:816(generate)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
      503    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
  140/135    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
      220    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
      988    0.000    0.000    0.000    0.000 css_types.py:312(__iter__)
      988    0.000    0.000    0.000    0.000 css_types.py:116(__getitem__)
     1361    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       23    0.000    0.000    0.002    0.000 enum.py:498(__new__)
     1146    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      175    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_get_cached)
       36    0.000    0.000    0.126    0.003 response.py:1342(_handle_chunk)
      962    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
       49    0.000    0.000    1.432    0.029 ssl.py:1129(read)
       13    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
        6    0.000    0.000    0.001    0.000 structures.py:40(__init__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       52    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
     2452    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      181    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       28    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
     2423    0.000    0.000    0.000    0.000 typing.py:2371(cast)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
      961    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
       78    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:731(_validate_timestamp_pyc)
     2562    0.000    0.000    0.000    0.000 {method 'isalpha' of 'str' objects}
        6    0.000    0.000    0.000    0.000 cookiejar.py:232(http2time)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       37    0.000    0.000    1.310    0.035 {method 'readline' of '_io.BufferedReader' objects}
     1644    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      988    0.000    0.000    0.000    0.000 css_match.py:828(match_nth)
      199    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
  168/165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:675(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      668    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      738    0.000    0.000    0.000    0.000 _parser.py:82(groups)
        5    0.000    0.000    0.012    0.002 cd.py:346(coherence_ratio)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      260    0.000    0.000    0.001    0.000 enum.py:1156(__new__)
      930    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
     1806    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ipaddress.py:2392(_IPv6Constants)
       65    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      389    0.000    0.000    0.000    0.000 _htmlparser.py:222(handle_data)
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      307    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
     1093    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 feedparser.py:54(__init__)
      307    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      343    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       49    0.000    0.000    0.125    0.003 client.py:635(_safe_read)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.023    0.023 dammit.py:71(_chardet_dammit)
      988    0.000    0.000    0.000    0.000 css_match.py:237(get_tag_name)
      220    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      617    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       64    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
     1093    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      988    0.000    0.000    0.000    0.000 css_match.py:471(supports_namespaces)
     1007    0.000    0.000    0.000    0.000 element.py:473(_is_xml)
      234    0.000    0.000    0.513    0.002 response.py:1227(stream)
      140    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
      617    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      913    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      234    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
      523    0.000    0.000    0.000    0.000 {built-in method from_bytes}
