('Market Cap', '3.515T')
         620852 function calls (597109 primitive calls) in 1.927 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      246    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1523(_get_spec)
      246    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
    240/1    0.010    0.000    1.927    1.927 {built-in method builtins.exec}
      240    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    240/6    0.001    0.000    0.299    0.050 <frozen importlib._bootstrap>:911(_load_unlocked)
  240/237    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      222    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
  222/153    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
      220    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:834(spec_from_file_location)
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_get_cached)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
  213/207    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:675(_check_name_wrapper)
      212    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      212    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      212    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      212    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      212    0.023    0.000    0.023    0.000 {built-in method marshal.loads}
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
      212    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1094(get_code)
      212    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
  212/169    0.000    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1018(create_module)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:731(_validate_timestamp_pyc)
      212    0.003    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:783(_compile_bytecode)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1234(path_stats)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1185(__init__)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(get_filename)
    212/6    0.001    0.000    0.299    0.050 <frozen importlib._bootstrap_external>:1021(exec_module)
      205    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      200    0.000    0.000    0.001    0.000 typing.py:1639(<genexpr>)
      196    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      189    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      189    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      189    0.001    0.000    0.116    0.001 _compiler.py:743(compile)
      189    0.001    0.000    0.069    0.000 _parser.py:970(parse)
      189    0.001    0.000    0.010    0.000 _compiler.py:514(_compile_info)
      189    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      189    0.000    0.000    0.006    0.000 _parser.py:97(closegroup)
      189    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      189    0.000    0.000    0.045    0.000 _compiler.py:576(_code)
      189    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
      188    0.001    0.000    0.001    0.000 enum.py:1607(__and__)
      187    0.000    0.000    0.000    0.000 enum.py:432(<genexpr>)
      185    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      172    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      171    0.000    0.000    0.000    0.000 enum.py:921(<lambda>)
      165    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      165    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      162    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
      161    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      155    0.001    0.000    0.001    0.000 enum.py:354(__setitem__)
      153    0.000    0.000    0.000    0.000 enum.py:764(__delattr__)
      147    0.000    0.000    0.001    0.000 dataclasses.py:709(_is_type)
      145    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      144    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      144    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      143    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      143    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
      140    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
  140/135    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
      140    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
  140/135    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
      139    0.000    0.000    0.000    0.000 dataclasses.py:865(_set_new_attribute)
